,category_id,category_name
0,sr:category:181,Hopman Cup
1,sr:category:3,ATP
2,sr:category:72,Challenger
3,sr:category:6,WTA
4,sr:category:76,Davis Cup
5,sr:category:74,Billie Jean King Cup
366,sr:category:785,ITF Men
384,sr:category:213,ITF Women
691,sr:category:871,WTA 125K
935,sr:category:1012,IPTL
936,sr:category:79,Exhibition
1354,sr:category:1474,Juniors
1358,sr:category:1476,Wheelchairs
1362,sr:category:1475,Legends
4857,sr:category:2400,Wheelchairs Juniors
5018,sr:category:2414,United Cup
5807,sr:category:2517,UTR Women
5810,sr:category:2516,UTR Men
