,id,name,country,country_code,abbreviation,week,Year
0,sr:competitor:14898,"Heliovaara, Harri",Finland,FIN,HEL,32,2026
1,sr:competitor:637970,"Patten, Henry",Great Britain,GBR,PAT,32,2026
2,sr:competitor:16160,"Zeballos, Horacio",Argentina,ARG,ZEB,32,2026
3,sr:competitor:15568,"Granollers, Marcel",Spain,ESP,GRA,32,2026
4,sr:competitor:53785,"Skupski, Neal",Great Britain,GBR,SKU,32,2026
5,sr:competitor:95801,"Vavassori, Andrea",Italy,ITA,VAV,32,2026
6,sr:competitor:51836,"Arevalo, Marcelo",El Salvador,SLV,ARE,32,2026
7,sr:competitor:49363,"Pavic, Mate",Croatia,HRV,PAV,32,2026
8,sr:competitor:15310,"Bolelli, Simone",Italy,ITA,BOL,32,2026
9,sr:competitor:36593,"Krawietz, Kevin",Germany,DEU,KRA,32,2026
10,sr:competitor:52293,"Putz, Tim",Germany,DEU,PUT,32,2026
11,sr:competitor:52065,"Harrison, Christian",USA,USA,HAR,32,2026
12,sr:competitor:59131,"Glasspool, Lloyd",Great Britain,GBR,GLA,32,2026
13,sr:competitor:108099,"Cash, Julian",Great Britain,GBR,CAS,32,2026
14,sr:competitor:121182,"Guinard, Manuel",France,FRA,GUI,32,2026
15,sr:competitor:47295,"Andreozzi, Guido",Argentina,ARG,AND,32,2026
16,sr:competitor:16608,"Mektic, Nikola",Croatia,HRV,MEK,32,2026
17,sr:competitor:74173,"Salisbury, Joe",Great Britain,GBR,SAL,32,2026
18,sr:competitor:78793,"Miedler, Lucas",Austria,AUT,MIE,32,2026
19,sr:competitor:106349,"Reboul, Fabien",France,FRA,REB,32,2026
20,sr:competitor:106559,"Doumbia, Sadio",France,FRA,DOU,32,2026
21,sr:competitor:47966,"Olivetti, Albano",France,FRA,OLI,32,2026
22,sr:competitor:80665,"Polmans, Marc",Australia,AUS,POL,32,2026
23,sr:competitor:231090,"Arribage, Theo",France,FRA,ARR,32,2026
24,sr:competitor:14835,"Roger-Vasselin, Edouard",France,FRA,ROG,32,2026
25,sr:competitor:52202,"Nys, Hugo",Monaco,MCO,NYS,32,2026
26,sr:competitor:127646,"Cabral, Francisco",Portugal,PRT,CAB,32,2026
27,sr:competitor:22967,"Bhambri, Yuki",India,IND,BHA,32,2026
28,sr:competitor:44553,"Herbert, Pierre-Hugues",France,FRA,HER,32,2026
29,sr:competitor:838776,"Tracy, James",USA,USA,TRA,32,2026
30,sr:competitor:112969,"Schnaitter, Jakob",Germany,DEU,SCH,32,2026
31,sr:competitor:936355,"Wallner, Mark",Germany,DEU,WAL,32,2026
32,sr:competitor:70348,"Goransson, Andre",Sweden,SWE,GOR,32,2026
33,sr:competitor:59324,"Pavlasek, Adam",Czechia,CZE,PAV,32,2026
34,sr:competitor:114831,"Erler, Alexander",Austria,AUT,ERL,32,2026
35,sr:competitor:152900,"Rikl, Patrik",Czechia,CZE,RIK,32,2026
36,sr:competitor:112805,"Zielinski, Jan",Poland,POL,ZIE,32,2026
37,sr:competitor:25189,"Krajicek, Austin",USA,USA,KRA,32,2026
38,sr:competitor:76263,"Matos, Rafael",Brazil,BRA,MAT,32,2026
39,sr:competitor:111195,"Luz, Orlando",Brazil,BRA,LUZ,32,2026
40,sr:competitor:206889,"Galloway, Robert",USA,USA,GAL,32,2026
41,sr:competitor:231188,"Frantzen, Constantin",Germany,DEU,FRA,32,2026
42,sr:competitor:393598,"Cash, Robert",USA,USA,CAS,32,2026
43,sr:competitor:280601,"Oberleitner, Neil",Austria,AUT,OBE,32,2026
44,sr:competitor:16042,"Haase, Robin",Netherlands,NLD,HAA,32,2026
45,sr:competitor:204781,"Nouza, Petr",Czechia,CZE,NOU,32,2026
46,sr:competitor:62410,"Johnson, Luke",Great Britain,GBR,JOH,32,2026
47,sr:competitor:16124,"Melo, Marcelo",Brazil,BRA,MEL,32,2026
48,sr:competitor:23899,"King, Evan",USA,USA,KIN,32,2026
49,sr:competitor:234124,"Stevens, Bart",Netherlands,NLD,STE,32,2026
50,sr:competitor:234044,"Kirkov, Vasil",USA,USA,KIR,32,2026
51,sr:competitor:90798,"Halys, Quentin",France,FRA,HAL,32,2026
52,sr:competitor:52951,"Pel, David",Netherlands,NLD,PEL,32,2026
53,sr:competitor:14553,"Ram, Rajeev",USA,USA,RAM,32,2026
54,sr:competitor:66864,"Arends, Sander",Netherlands,NLD,ARE,32,2026
55,sr:competitor:16151,"Venus, Michael",New Zealand,NZL,VEN,32,2026
56,sr:competitor:52244,"Balaji, N. Sriram",India,IND,BAL,32,2026
57,sr:competitor:204495,"Vocel, Matej",Czechia,CZE,VOC,32,2026
58,sr:competitor:16992,"Willis, Marcus",Great Britain,GBR,WIL,32,2026
59,sr:competitor:81059,"Gille, Sander",Belgium,BEL,GIL,32,2026
60,sr:competitor:1020797,"Trhac, Patrik",USA,USA,TRH,32,2026
61,sr:competitor:15548,"Gonzalez, Maximo",Argentina,ARG,GON,32,2026
62,sr:competitor:38181,"Molteni, Andres",Argentina,ARG,MOL,32,2026
63,sr:competitor:287215,"Seggerman, Ryan",USA,USA,SEG,32,2026
64,sr:competitor:16573,"Demoliner, Marcelo",Brazil,BRA,DEM,32,2026
65,sr:competitor:243522,"Paul, Jakub",Switzerland,CHE,PAU,32,2026
66,sr:competitor:230186,"Verbeek, Sem",Netherlands,NLD,VER,32,2026
67,sr:competitor:17038,"Smith, John-Patrick",Australia,AUS,SMI,32,2026
68,sr:competitor:15588,"Rojer, Jean-Julien",Netherlands,NLD,ROJ,32,2026
69,sr:competitor:15305,"Gonzalez, Santiago",Mexico,MEX,GON,32,2026
70,sr:competitor:1015089,"Winegar, Theodore",USA,USA,WIN,32,2026
71,sr:competitor:422955,"Sanchez, Luca",France,FRA,SAN,32,2026
72,sr:competitor:56629,"Peers, John",Australia,AUS,PEE,32,2026
73,sr:competitor:39726,"Kubler, Jason",Australia,AUS,KUB,32,2026
74,sr:competitor:297448,"Kiger, Mac",USA,USA,KIG,32,2026
75,sr:competitor:180104,"Reymond, Arthur",France,FRA,REY,32,2026
76,sr:competitor:41475,"Arneodo, Romain",Monaco,MCO,ARN,32,2026
77,sr:competitor:108755,"Jebens, Hendrik",Germany,DEU,JEB,32,2026
78,sr:competitor:256001,"Ho, Ray",Chinese Taipei,TPE,RAY,32,2026
79,sr:competitor:263865,"Reynolds, Finn",New Zealand,NZL,REY,32,2026
80,sr:competitor:973963,"Watt, James",New Zealand,NZL,WAT,32,2026
81,sr:competitor:49306,"Reyes-Varela, Miguel Angel",Mexico,MEX,REY,32,2026
82,sr:competitor:296270,"Stevenson, David",Great Britain,GBR,STE,32,2026
83,sr:competitor:614090,"Pieczonka, Filip",Poland,POL,PIE,32,2026
84,sr:competitor:52263,"Hidalgo, Diego",Ecuador,ECU,HID,32,2026
85,sr:competitor:145936,"Kaliyanda Poonacha, Niki",India,IND,KAL,32,2026
86,sr:competitor:210736,"Lammons, Nathaniel",USA,USA,LAM,32,2026
87,sr:competitor:16198,"Escobar, Gonzalo",Ecuador,ECU,ESC,32,2026
88,sr:competitor:628034,"Kittay, Benjamin",USA,USA,KIT,32,2026
89,sr:competitor:16823,"Romboli, Fernando",Brazil,BRA,ROM,32,2026
90,sr:competitor:209202,"Chandrasekar, Anirudh",India,IND,CHA,32,2026
91,sr:competitor:240880,"Hilderbrand, Trey",USA,USA,HIL,32,2026
92,sr:competitor:59700,"Isaro, Pruchya",Thailand,THA,ISA,32,2026
93,sr:competitor:113889,"Liutarevich, Ivan",Neutral,,LIU,32,2026
94,sr:competitor:55989,"Withrow, Jackson",USA,USA,WIT,32,2026
95,sr:competitor:121032,"Stalder, Reese",USA,USA,STA,32,2026
96,sr:competitor:48646,"Barrientos, Nicolas",Colombia,COL,BAR,32,2026
97,sr:competitor:95923,"Paris, Joshua",Great Britain,GBR,PAR,32,2026
98,sr:competitor:272245,"Latinovic, Stefan",Serbia,SRB,LAT,32,2026
99,sr:competitor:145008,"Uesugi, Kaito",Japan,JPN,UES,32,2026
100,sr:competitor:45105,"Behar, Ariel",Uruguay,URY,BEH,32,2026
101,sr:competitor:548169,"Yuzuki, Takeru",Japan,JPN,YUZ,32,2026
102,sr:competitor:359602,"Musetti, Lorenzo",Italy,ITA,MUS,32,2026
103,sr:competitor:104847,"Sonego, Lorenzo",Italy,ITA,SON,32,2026
104,sr:competitor:90110,"Serdarusic, Nino",Croatia,HRV,SER,32,2026
105,sr:competitor:99377,"Kestelboim, Mariano",Argentina,ARG,KES,32,2026
106,sr:competitor:863319,"Fonseca, Joao",Brazil,BRA,FON,32,2026
107,sr:competitor:163538,"Donski, Alexander",Bulgaria,BGR,DON,32,2026
108,sr:competitor:188321,"Kovacevic, Aleksandar",USA,USA,KOV,32,2026
109,sr:competitor:113221,"Niklas-Salminen, Patrik",Finland,FIN,NIK,32,2026
110,sr:competitor:158912,"Vacherot, Valentin",Monaco,MCO,VAC,32,2026
111,sr:competitor:295508,"Vrbensky, Michael",Czechia,CZE,VRB,32,2026
112,sr:competitor:57163,"Zverev, Alexander",Germany,DEU,ZVE,32,2026
113,sr:competitor:63606,"Rinderknech, Arthur",France,FRA,RIN,32,2026
