,complex_id,complex_name
0,sr:complex:705,Nacional
1,sr:complex:1078,Estadio la Cartuja
2,sr:complex:1495,Sibur Arena
3,sr:complex:2375,Complexo de Tenis do Jamor
4,sr:complex:4032,Shree Shiv Chhatrapati Sports Complex
5,sr:complex:5520,O2 Arena
6,sr:complex:5526,Ostravar Arena
7,sr:complex:6310,Varazdin Arena
8,sr:complex:6322,Castello Dusseldorf
9,sr:complex:6484,Arena Montpellier
10,sr:complex:6736,Arenes de Metz
11,sr:complex:6890,Palais des Sports Orleans
12,sr:complex:6904,Stade Pierre-de-Coubertin
13,sr:complex:7048,Palacio de Deportes Jose Maria Martin Carpena
14,sr:complex:7052,Pabellon Municipal Fuente San Luis
15,sr:complex:7208,Unipol Arena
16,sr:complex:7242,Telekom Center Athens
17,sr:complex:7778,Arena Gripe
18,sr:complex:8115,loanDepot park
19,sr:complex:9725,Arena Armeets Sofia
20,sr:complex:10063,Kindarena
21,sr:complex:11769,Estadio German Becker
22,sr:complex:11981,Netanya Stadium
23,sr:complex:12241,Palais des sports de Gerland
24,sr:complex:15014,Palais Des Sport
25,sr:complex:15371,Palasport
26,sr:complex:16020,Salle Steredenn
27,sr:complex:16069,Garanti Koza Arena
28,sr:complex:16612,Porsche-Arena
29,sr:complex:17254,Poliesportiu d'Andorra
30,sr:complex:17869,Rizal Memorial Stadium
31,sr:complex:17945,Rotterdam Ahoy
32,sr:complex:18201,The O2
33,sr:complex:18221,Bluesun Tennis Center
34,sr:complex:19166,Shlomo Group Arena
35,sr:complex:19737,"Club Sonoma, Estadio Gnp Seguros"
36,sr:complex:19951,Accor Arena
37,sr:complex:21870,Stadium Goran Ivanisevic in ITC Stella Maris
38,sr:complex:21910,Roy Emerson Arena
39,sr:complex:23576,Brest Arena
40,sr:complex:26983,Club de Tenis Puente Romano
41,sr:complex:26985,National Tennis Center
42,sr:complex:27093,Canberra Tennis Centre
43,sr:complex:27095,BT Arena
44,sr:complex:27697,Ford Center at The Star
45,sr:complex:28457,Valletta Cambiaso ASD
46,sr:complex:28617,Porsche Arena
47,sr:complex:28926,Royal Arena
48,sr:complex:32327,Taipei Arena
49,sr:complex:32403,Ohio State University GC
50,sr:complex:32668,Shenzhen Bay Sports Center
51,sr:complex:32812,Singapore Indoor Stadium
52,sr:complex:33156,IMG Academy
53,sr:complex:33186,Palais des Sports de Marseille
54,sr:complex:33188,Caja Magica
55,sr:complex:33190,All England Lawn Tennis and Croquet Club
56,sr:complex:33192,Stade Roland Garros
57,sr:complex:33194,Complexe Al Amal
58,sr:complex:33196,Melbourne Park
59,sr:complex:33198,Qi zhong Forest Sports City Arena
60,sr:complex:33200,Wake Forest University Tennis Complex
61,sr:complex:33204,Clube de Ténis do Estoril
62,sr:complex:33206,The Drive
63,sr:complex:33208,Atlantic Station
64,sr:complex:33210,International Tennis Hall of Fame
65,sr:complex:33214,Club Jacaranda Cumbaya
66,sr:complex:33218,Hengqin International Tennis Center Zhuhai
67,sr:complex:33222,Buenos Aires Lawn Tennis Club
68,sr:complex:33226,The Racquet Club of Memphis
69,sr:complex:33228,Delray Beach Tennis Center
70,sr:complex:33230,CK Sportcenter Kockelscheuer
71,sr:complex:33232,Singapore Sports Hub
72,sr:complex:33234,Linzer Sporthalle
73,sr:complex:33236,Luzhniki Olympic Complex
74,sr:complex:33238,Ariake Coliseum & Ariake Tennis Forest Park
75,sr:complex:33240,Optics Valley International Tennis Center
76,sr:complex:33242,Guangzhou Tianhe Sports Center
77,sr:complex:33244,Olympic Park Tennis Center
78,sr:complex:33246,Victoria Park Tennis Court
79,sr:complex:33248,Tianjin Tuanbo International Tennis Center
80,sr:complex:33250,Tashkent Tennis Centreake
81,sr:complex:33252,China National Tennis Center
82,sr:complex:33254,Utsubo Tennis Center
83,sr:complex:33258,Connecticut Tennis Center
84,sr:complex:33262,Santa Catarina Tennis Federation
85,sr:complex:33264,Baku Tennis Academy
86,sr:complex:33266,Sobeys Stadium
87,sr:complex:33268,Lindner Family Tennis Center
88,sr:complex:33270,Taube Tennis Stadium
89,sr:complex:33274,Tennis Club de Strasbourg
90,sr:complex:33276,Edgbaston Priory Club
91,sr:complex:33278,Royal Tennis Club de Marrakech
