,id,name,city_name,country_name,country_code,timezone,complex_id
0,sr:venue:70045,Cancha Central,Santiago,Chile,CHL,America/Santiago,sr:complex:705
1,sr:venue:74856,Centre Court,Seville,Spain,ESP,Europe/Madrid,sr:complex:1078
2,sr:venue:74858,Court One,Seville,Spain,ESP,Europe/Madrid,sr:complex:1078
3,sr:venue:1496,Court 1,Saint Petersburg,Russia,RUS,Europe/Moscow,sr:complex:1495
4,sr:venue:1500,CENTER COURT,Saint Petersburg,Russia,RUS,Europe/Moscow,sr:complex:1495
5,sr:venue:62149,Sibur Arena,Saint Petersburg,Russia,RUS,Europe/Moscow,sr:complex:1495
6,sr:venue:62153,TC Dynamo,Saint Petersburg,Russia,RUS,Europe/Moscow,sr:complex:1495
7,sr:venue:57912,Central,Oeiras,Portugal,PRT,Europe/Lisbon,sr:complex:2375
8,sr:venue:70805,Campo 3,Oeiras,Portugal,PRT,Europe/Lisbon,sr:complex:2375
9,sr:venue:70807,Campo 4,Oeiras,Portugal,PRT,Europe/Lisbon,sr:complex:2375
10,sr:venue:77423,Campo 1,Oeiras,Portugal,PRT,Europe/Lisbon,sr:complex:2375
11,sr:venue:77437,Campo 8,Oeiras,Portugal,PRT,Europe/Lisbon,sr:complex:2375
12,sr:venue:13912,Centre Court,Ostrava,Czechia,CZE,Europe/Prague,sr:complex:5526
13,sr:venue:13914,Court 3,Ostrava,Czechia,CZE,Europe/Prague,sr:complex:5526
14,sr:venue:13916,Court 6,Ostrava,Czechia,CZE,Europe/Prague,sr:complex:5526
15,sr:venue:13942,Court 4,Ostrava,Czechia,CZE,Europe/Prague,sr:complex:5526
16,sr:venue:55221,Court 1,Ostrava,Czechia,CZE,Europe/Prague,sr:complex:5526
17,sr:venue:55223,Court 2,Ostrava,Czechia,CZE,Europe/Prague,sr:complex:5526
18,sr:venue:86772,Ridera Court,Ostrava,Czechia,CZE,Europe/Prague,sr:complex:5526
19,sr:venue:77271,Table 1,Varazdin,Croatia,HRV,Europe/Zagreb,sr:complex:6310
20,sr:venue:77273,Table 2,Varazdin,Croatia,HRV,Europe/Zagreb,sr:complex:6310
21,sr:venue:77275,Table 3,Varazdin,Croatia,HRV,Europe/Zagreb,sr:complex:6310
22,sr:venue:77277,Table 4,Varazdin,Croatia,HRV,Europe/Zagreb,sr:complex:6310
23,sr:venue:77279,Table 5,Varazdin,Croatia,HRV,Europe/Zagreb,sr:complex:6310
24,sr:venue:77281,Table 6,Varazdin,Croatia,HRV,Europe/Zagreb,sr:complex:6310
25,sr:venue:77283,Table 7,Varazdin,Croatia,HRV,Europe/Zagreb,sr:complex:6310
26,sr:venue:77285,Table 8,Varazdin,Croatia,HRV,Europe/Zagreb,sr:complex:6310
27,sr:venue:74260,Court 3,Dusseldorf,Germany,DEU,Europe/Berlin,sr:complex:6322
28,sr:venue:74262,Court 2,Dusseldorf,Germany,DEU,Europe/Berlin,sr:complex:6322
29,sr:venue:74264,Court 1,Dusseldorf,Germany,DEU,Europe/Berlin,sr:complex:6322
30,sr:venue:74266,Center Court,Dusseldorf,Germany,DEU,Europe/Berlin,sr:complex:6322
31,sr:venue:2146,Court 1,Montpellier,France,FRA,Europe/Paris,sr:complex:6484
32,sr:venue:19477,Court Patrice Dominguez,Montpellier,France,FRA,Europe/Paris,sr:complex:6484
33,sr:venue:30567,Court Central,Montpellier,France,FRA,Europe/Paris,sr:complex:6484
34,sr:venue:30569,Court 2,Montpellier,France,FRA,Europe/Paris,sr:complex:6484
35,sr:venue:39934,Court 3,Montpellier,France,FRA,Europe/Paris,sr:complex:6484
36,sr:venue:66107,Court 2,Orleans,France,FRA,Europe/Paris,sr:complex:6890
37,sr:venue:66109,Court 3,Orleans,France,FRA,Europe/Paris,sr:complex:6890
38,sr:venue:66111,Court 4,Orleans,France,FRA,Europe/Paris,sr:complex:6890
39,sr:venue:70605,Court 5,Orleans,France,FRA,Europe/Paris,sr:complex:6890
40,sr:venue:74195,Center Court,Orleans,France,FRA,Europe/Paris,sr:complex:6890
41,sr:venue:74197,Court 1,Orleans,France,FRA,Europe/Paris,sr:complex:6890
42,sr:venue:72565,Pista Cental,Malaga,Spain,ESP,Europe/Madrid,sr:complex:7048
43,sr:venue:72567,Pista 2,Malaga,Spain,ESP,Europe/Madrid,sr:complex:7048
44,sr:venue:72569,Pista 3,Malaga,Spain,ESP,Europe/Madrid,sr:complex:7048
45,sr:venue:72571,Pista 4,Malaga,Spain,ESP,Europe/Madrid,sr:complex:7048
46,sr:venue:83354,Centre Court,Malaga,Spain,ESP,Europe/Madrid,sr:complex:7048
47,sr:venue:83356,Court 2,Malaga,Spain,ESP,Europe/Madrid,sr:complex:7048
48,sr:venue:83358,Court 3,Malaga,Spain,ESP,Europe/Madrid,sr:complex:7048
49,sr:venue:85168,Grandstand,Athens,Greece,GRC,Europe/Athens,sr:complex:7242
